start,end,length
380,956,80.50500000000001
381,2141,80.69200000000001
382,381,160.35299999999998
382,2808,80.583
383,46150,15.427
383,2747,83.619
384,2485,115.221
384,45876,90.25599999999999
385,2048,82.32000000000001
385,384,81.295
386,2486,111.09700000000001
386,385,77.429
387,2810,80.64
387,386,78.758
389,1876,122.174
1876,389,122.174
389,388,65.858
390,2487,124.43799999999999
390,389,68.943
391,2787,228.958
391,390,74.65100000000001
392,391,75.134
393,3068,195.914
393,392,79.783
394,2616,104.797
394,393,86.332
395,1613,125.504
395,394,86.44000000000001
396,2060,80.978
2060,396,80.978
396,395,92.15200000000002
396,1817,97.356
1817,396,97.356
397,919,136.941
397,2397,52.778
400,45117,111.876
400,37,91.077
401,400,90.683
402,401,136.667
403,402,47.8
403,52444,19.826999999999998
404,403,93.14099999999999
404,1898,199.90699999999998
405,404,88.84900000000002
406,45017,18.574
406,405,89.772
407,406,89.14899999999999
407,45997,77.59100000000001
408,44996,20.851
408,407,90.53699999999999
409,44982,94.125
409,52492,42.57599999999999
52492,409,42.57599999999999
410,409,90.603
411,44986,20.195
411,410,85.06499999999998
412,804,158.202
412,411,82.383
413,44992,18.734
413,412,85.32000000000001
414,413,84.071
415,44983,17.446
44983,415,17.446
415,807,104.796
807,415,104.796
415,310,87.02799999999999
416,808,105.407
416,12,81.377
417,45024,18.051
417,416,80.8
418,417,79.815
418,810,107.57400000000001
419,22,81.177
419,811,114.874
420,44997,16.849
44997,420,16.849
420,812,120.85199999999999
812,420,120.85199999999999
420,419,87.444
421,420,85.675
421,813,126.85
422,45022,16.774
422,421,80.092
423,45004,18.028
423,44,79.43799999999999
424,423,81.333
424,816,127.905
425,45013,18.045
425,424,78.783
426,425,79.647
426,818,127.293
427,45026,19.236
427,426,79.792
428,427,79.418
428,44994,23.079
429,821,126.31099999999999
821,429,126.31099999999999
429,428,86.964
429,45021,22.573
45021,429,22.573
430,429,85.21200000000002
431,45010,18.258
431,430,79.465
432,824,127.398
432,431,80.171
433,44995,19.064
433,432,79.89800000000001
434,433,79.77499999999999
435,45019,19.745
435,434,79.164
436,828,126.73299999999999
436,435,80.45200000000001
437,44985,19.567
437,436,79.96199999999999
438,830,92.327
438,437,84.22500000000001
439,831,20.076
439,7,95.257
440,43952,79.279
440,2125,135.739
441,49347,18.944
49347,441,18.944
441,2126,116.774
2126,441,116.774
441,440,77.572
442,54023,135.845
442,441,82.826
443,43686,17.968
443,442,79.49399999999999
444,839,167.316
444,443,79.66100000000002
445,43688,17.707
445,444,80.302
446,50620,191.277
446,445,80.45600000000002
447,45686,85.188
448,52064,22.416
52064,448,22.416
448,2294,84.7
